()||<BIN>99</BIN><黑屏2><BGM>BGM_Room</BGM>:
Cx4Storm(0);SOPII(0)<Speaker>SOP2</Speaker>||:はは、それじゃグリフィンに戻ったら、きっとまた物資箱を運ぶ幸せな日々に戻れるよ！
Cx4Storm(0)<Speaker>Cx4 ストーム</Speaker>;SOPII(0)||:そうですね……でもそれもまずグリフィンの司令部に戻らないと。+それに……そこに私たちを待ってる人もいないと……
Cx4Storm(0);SOPII(0)<Speaker>SOP2</Speaker>||:今はそうするしかないね。+そういえばCx4、この先のエリアにグリフィンの司令部があるの？
Cx4Storm(0)<Speaker>Cx4 ストーム</Speaker>;SOPII(0)||:はい、もうすぐ着くはずです。+でも、前方に鉄血の拠点がいくつもあって、簡単に通れるルートを探すのは大変なのかもしれません。
Cx4Storm(0);SOPII(0)<Speaker>SOP2</Speaker>||:しょうがないな、先に偵察してくるよ。
Cx4Storm(0)<Speaker>Cx4 ストーム</Speaker>;SOPII(0)||:いえ、それは私がやります！そうした方が安全ですし、万が一……
SOPII(0)<Speaker>SOP2</Speaker>||:Cx4、これは――
()||<BGM>BGM_Empty</BGM>:……ピッ、ピッ、ピッ。
Cx4Storm(0)<Speaker>Cx4 ストーム</Speaker>||:あれ？こんなところで通信信号なんて、誰でしょう？
SOPII(0)<Speaker>SOP2</Speaker>||:きっと指揮官じゃないよね。Cx4、みんなに警戒をするように。
()||:……SOP IIは通信を繋いだ。
BOSS-1(0)<Speaker>BOSS-1</Speaker>||<BGM>BGM_Sneak</BGM>:M4 SOPMOD II。
SOPII(2)<Speaker>SOP2</Speaker>||<黑屏1>:え？+スケア……クロウ？
