()||<BIN>34</BIN><BGM>BGM_Empty</BGM>:…………
BB_Noel(2);FN57(0)<Speaker>Five-seven</Speaker>||<BIN>54</BIN><黑屏1>:よし。//nここはアタシに任せて、解除できるかちょっと試してみるわ……
容器()<Speaker>容器</Speaker>||<BIN>9</BIN><黑屏2>:…………+権限……検索……SP914「Intruder」——イントゥルーダー。+——認証成功√
FN57(0)<Speaker>Five-seven</Speaker>||<BIN>54</BIN><黑屏2>:通ったよ。
()||<BIN>54</BIN>:カプセルの蓋がゆっくりと開く……
()||<BIN>54</BIN><SE1>ClothingUp</SE1>:…………
GG_elfeldt_504(0)<Speaker>エルフェルト</Speaker>||<BIN>54</BIN>:…………
GG_elfeldt_504(0);BB_Noel(2)<Speaker>ノエル</Speaker>||<BIN>54</BIN>:あぁ……+この人が……
FAL(0)<Speaker>FAL</Speaker>;BB_Noel(2)||<BIN>54</BIN>:どう？//n……あなたが見たっていうあの人と一緒？
FAL(0);BB_Noel(2)<Speaker>ノエル</Speaker>||<BIN>54</BIN>:そっ、そうです！彼女です！+彼女があの時私を「観測」した「観測者」で間違いありません！
GG_elfeldt_504(0)<Speaker>エルフェルト</Speaker>;BB_Noel(2)||<BIN>54</BIN>:…………はっ！
GG_elfeldt_504(0)<Speaker>エルフェルト</Speaker>;BB_Noel(2)||<BIN>54</BIN><震屏><BGM>BGM_Empty</BGM>:エルフェルト=ヴァレンタイン、不適格の人形どもを殲滅します！
GG_elfeldt_504(0);FAL(0)<Speaker>FN小隊</Speaker>||<BIN>54</BIN><SE1>Reload</SE1>:……！
GG_elfeldt_504(0)<Speaker>エルフェルト</Speaker>;FAL(0)||<BIN>54</BIN>:……え？+いっ、一体どういう状況ですか！？//nなんでこんなたくさんの銃を突きつけられているの私？！+あっ、人間でしょうか？//n申し訳ございません！+さっきのは私が目覚めたときに出るよう設定されているボイスなんです、気にしないでください！
GG_elfeldt_504(0);FAL(0)<Speaker>FAL</Speaker>||<BIN>54</BIN>:…………
BB_Noel(2)<Speaker>ノエル</Speaker>;FAL(0)||<BIN>54</BIN>:…………
BB_Noel(2);FNFNC(0)<Speaker>FF FNC</Speaker>||<BIN>54</BIN>:…………なんというか、危険なやつではなさそうだね。
GG_elfeldt_504(0)<Speaker>エルフェルト</Speaker>;FNFNC(0)||<BIN>54</BIN>:……あの……すみません……+これって……どういう状況なのでしょうか？
GG_elfeldt_504(0);FAL(0)<Speaker>FAL</Speaker>||<BIN>54</BIN><黑屏1>:ハァ……近くにまだ鉄血の残党がいるかもしれないから、場所を移しましょうか。+えーっと……エルフェルトさん、でしたっけ？+一緒に来てもらえる？//n多分あなたより、私たちのほうが聞きたいことも多いだろうし……
()||<BIN>9</BIN><黑屏2>:FN小隊がエルフェルトを連れ、司令部に戻った後……
GG_elfeldt_504(0)<Speaker>エルフェルト</Speaker>||<BIN>8</BIN><BGM>BGM_Sunshine</BGM><黑屏2>:……つまり、私はあなたと一緒に別の世界に来たということですか？
GG_elfeldt_504(0);BB_Noel(2)<Speaker>ノエル</Speaker>||<BIN>8</BIN>:……そうなんです。
GG_elfeldt_504(0)<Speaker>エルフェルト</Speaker>;BB_Noel(2)||<BIN>8</BIN>:時代も私のいた時代と違っていて、しかもここでは「科学」が大いに用いられているのですね。+……確かに「もう一つの世界」に来ちゃったみたいですね。
GG_elfeldt_504(0);BB_Noel(2)<Speaker>ノエル</Speaker>||<BIN>8</BIN>:その通りです……+私と一緒に「窯」から現れたということは、あなたも別の世界から来たのでしょう？
GG_elfeldt_504(0)<Speaker>エルフェルト</Speaker>;BB_Noel(2)||<BIN>8</BIN>:私が覚えているのはただ……セントエルモの灯が差して……+そしてどこか知らない場所であなたを見かけて、そのあとのことは何も覚えていません……
GG_elfeldt_504(0);FAL(0)<Speaker>FAL</Speaker>||<BIN>8</BIN>:……鉄血に利用されていたことも覚えてないの？
GG_elfeldt_504(0)<Speaker>エルフェルト</Speaker>;FAL(0)||<BIN>8</BIN>:ずっと深い眠りに落ちていたこと以外……何も分からないですね。
GG_elfeldt_504(0);FAL(0)<Speaker>FAL</Speaker>||<BIN>8</BIN>:やれやれ、私たちはあなたに殺されかけたっていうのにね……+なんか、責める気もなくなっちゃったわ。
GG_elfeldt_504(0)<Speaker>エルフェルト</Speaker>;FAL(0)||<BIN>8</BIN>:本当に申し訳ございませんでした！//nそんなにひどいことをしてしまったなんて……
GG_elfeldt_504(0);BB_Noel(2)<Speaker>ノエル</Speaker>||<BIN>8</BIN>:あなたのせいじゃありませんよ！//nあの鉄血とかいうのが悪いんです、あなたに責任はありませんから。
GG_elfeldt_504(0)<Speaker>エルフェルト</Speaker>;BB_Noel(2)||<BIN>8</BIN>:ノエルさん……ありがとうございます！+あなたはずっと私のこと探していたんですよね？//n私にできることなら何でもします！
GG_elfeldt_504(0);BB_Noel(2)<Speaker>ノエル</Speaker>||<BIN>8</BIN>:はい！//nあなたの力が必要だったんです、一緒に帰りましょう！
FN57(0)<Speaker>Five-seven</Speaker>;BB_Noel(2)||<BIN>8</BIN>:どうやって帰るつもりなのですか？
FN57(0);BB_Noel(2)<Speaker>ノエル</Speaker>||<BIN>8</BIN>:「観測者」がいれば「ゲート」を開くことができます。+……それにはもう一度こちらの世界に飛ばされてきた時の場所に赴く必要があります。
FAL(0)<Speaker>FAL</Speaker>;BB_Noel(2)||<BIN>8</BIN>:あのすごい落雷があった場所？
FAL(0);BB_Noel(2)<Speaker>ノエル</Speaker>||<BIN>8</BIN>:そうです……あそこは入口であり、同時に出口でもあるのです。
FAL(0)<Speaker>FAL</Speaker>;BB_Noel(2)||<BIN>8</BIN>:ふーん……今でも信じがたいわね。+タイムトラベラー……+もしヘリアンにこんなこと言ったら、確実に私のメンタルモデルが故障したと思われるだろうね。+指揮官、調査報告は大変なことになりそうだけど、よろしくね？
FN57(0)<Speaker>Five-seven</Speaker>;BB_Noel(2)||<BIN>8</BIN>:よかったわね、ノエル。//nこれでやっと帰れるね。
FN57(0);BB_Noel(2)<Speaker>ノエル</Speaker>||<BIN>8</BIN>:57さん……//nはい、結局私にしかないものは、どうやらここにはなかったみたいです。
FN57(0);GG_elfeldt_504(0)<Speaker>エルフェルト</Speaker>||<BIN>8</BIN>:私にも達成しなければならない使命がありますので……+皆さん、助けていただいたこと、本当に感謝しています！
FN57(0)<Speaker>Five-seven</Speaker>;GG_elfeldt_504(0)||<BIN>8</BIN><黑屏1>:どういたしまして。//nアンタたちをあそこまで送って、そこでお別れね……+じゃ、いきましょうか。
()||<BIN>9</BIN><黑屏2>:ノエル一行は目的地に到着した……
BB_Noel(2)<Speaker>ノエル</Speaker>||<BIN>2</BIN><黑屏2>:よし……ここで「眼」の力を使って……+【神輝・ムラクモ】起動！
FNFNC(0)<Speaker>FF FNC</Speaker>||<BIN>2</BIN>:ひゃあ？！
()||<BIN>2</BIN>:ノエルの姿が変化し始めた——
BB_Noel_503(0)<Speaker>ノエル</Speaker>||<BIN>2</BIN>:ふぅ……どうやらうまく起動できたみたいですね。+もしかしたらこちらでは起動できないのではと心配していたのですけど。
BB_Noel_503(0);FNFNC(0)<Speaker>FF FNC</Speaker>||<BIN>2</BIN>:す、すごい……
BB_Noel_503(0);FAL(0)<Speaker>FAL</Speaker>||<BIN>2</BIN>:はは……これは異世界からのタイムトラベラーだと信じるしかないようね。
BB_Noel_503(0);FN49(0)<Speaker>FF FN49</Speaker>||<BIN>2</BIN>:なにがどうなっているのでしょうか……
BB_Noel_503(0);GG_elfeldt_504(0)<Speaker>エルフェルト</Speaker>||<BIN>2</BIN>:ノエルさん、こっちも準備OKですよ。
BB_Noel_503(0)<Speaker>ノエル</Speaker>;GG_elfeldt_504(0)||<BIN>2</BIN>:はい、ちょっと待ってくださいね……
BB_Noel_503(0)<Speaker></Speaker>;GG_elfeldt_504(0)||<BIN>2</BIN>:ノエルは空中に何かを探すように天を見上げる。
BB_Noel_503(0)<Speaker>ノエル</Speaker>;GG_elfeldt_504(0)||<BIN>2</BIN>:あ、ありました！//nあれが「ゲート」です！
BB_Noel_503(0);FNFNC(0)<Speaker>FF FNC</Speaker>||<BIN>2</BIN>:ゲート？……どこにそんなのあるの？+なにも見えないんだけど……
BB_Noel_503(0)<Speaker>ノエル</Speaker>;FNFNC(0)||<BIN>2</BIN>:私の能力があってこそ見える概念のようなもので、他の人には見えないんですよ。
BB_Noel_503(0);FNFNC(0)<Speaker>FF FNC</Speaker>||<BIN>2</BIN>:……ふーん、それもまたあなたたちの「設定」なの？
BB_Noel_503(0);FN57(0)<Speaker>Five-seven</Speaker>||<BIN>2</BIN>:あなたが鉄血に捕まらなくて本当によかったわ。+でないと、それこそまずいことになっていたかも。
BB_Noel_503(0);FAL(0)<Speaker>FAL</Speaker>||<BIN>2</BIN>:そろそろお別れみたいね……
BB_Noel_503(0)<Speaker>ノエル</Speaker>;FAL(0)||<BIN>2</BIN>:エルフェルトさん、しっかり捕まっててくださいね。
BB_Noel_503(0);GG_elfeldt_504(0)<Speaker>エルフェルト</Speaker>||<BIN>2</BIN>:分かりました！……よいしょっと！
BB_Noel_503(0)<Speaker>ノエル</Speaker>;GG_elfeldt_504(0)||<BIN>2</BIN>:それでは、グリフィンの皆さん、本当にありがとうございました！
BB_Noel_503(0);FAL(0)<Speaker>FAL</Speaker>||<BIN>2</BIN>:次来るときは普通に来なさいよね。//n雷を伴うのは二度とご免よ。
FNFNC(0)<Speaker>FF FNC</Speaker>;FAL(0)||<BIN>2</BIN>:んー……+あっちの世界がどんな感じなのか、一緒についてって見てみたいかも。
FNFNC(0);FN49(0)<Speaker>FF FN49</Speaker>||<BIN>2</BIN>:……本気で言っているんですか？
FNFNC(0)<Speaker>FF FNC</Speaker>;FN49(0)||<BIN>2</BIN>:……冗談だよ。
FNFNC(0);GG_elfeldt_504(0)<Speaker>エルフェルト</Speaker>||<BIN>2</BIN>:大丈夫ですよ！//nまた会う機会があるかもしれませんし。
FN57(0)<Speaker>Five-seven</Speaker>;GG_elfeldt_504(0)</Speaker>||<BIN>2</BIN>:次があるとしたら、その時は味方として来てよね。
FN57(0);GG_elfeldt_504(0)<Speaker>エルフェルト</Speaker>||<BIN>2</BIN>:ふふ……素敵な旦那様候補を紹介してくださるのなら、是非行かせていただきたいですね。
FN57(0)<Speaker>Five-seven</Speaker>;GG_elfeldt_504(0)</Speaker>||<BIN>2</BIN>:あら……女の子はダメなの？+ほら、私にもあなたのとそっくりな「ウサ耳」がついてるでしょ？+もしアタシがあなたの「旦那様」だったら、あなたの望む「ロマンティック」をプレゼントしてあげられるのに……♡
FN57(0);GG_elfeldt_504(0)<Speaker>エルフェルト</Speaker>||<BIN>2</BIN>:お、女の子同士で……？！+だっ、ダメです！//nもしもそのまま禁断の関係にまで発展したりしたら……+そうしたら、私の女子力が……私の女子力がぁぁ……！
FN57(0)<Speaker>Five-seven</Speaker>;GG_elfeldt_504(0)</Speaker>||<BIN>2</BIN>:ふふっ、すっごく面白い反応するのね。+別れのプレゼントとしては及第点よ。
BB_Noel_503(0)<Speaker>ノエル</Speaker>;GG_elfeldt_504(0)</Speaker>||<BIN>2</BIN>:どうやらお別れは済んだようですね……+エルフェルトさん、行きましょうか。
BB_Noel_503(0);GG_elfeldt_504(0)<Speaker>エルフェルト</Speaker>||<BIN>2</BIN><黑屏1>:は、はい！//nでは……
艾尔菲尔特()<Speaker>エルフェルト</Speaker>||<BIN>59</BIN><黑屏2>:みなさん！また会いましょうね！
诺爱尔()<Speaker>ノエル</Speaker>||<BIN>59</BIN>:グリフィンの皆さん、またお会いしましょう！
FAL()<Speaker>FAL</Speaker>||<BIN>59</BIN>:……またね、タイムトラベラー。
()||<BIN>59</BIN><黑屏1>:ノエルとエルフェルトは、空に飛んでいった……+そして、はるか上空の隙間へと消えていった……
FN57(0)<Speaker>Five-seven</Speaker>||<BIN>2</BIN><黑屏2>:……これでもういなくなっちゃったんだね。+雷が落ちた跡以外、これまでの出来事すべてが白昼夢でも見ていたみたい……
FN57(0);FAL(0)<Speaker>FAL</Speaker>||<BIN>2</BIN>:……あの二人、「また会いましょう」って言ってたわよね。//nまさか、また戻ってくるつもりじゃ……。
FNFNC(0)<Speaker>FF FNC</Speaker>;FAL(0)||<BIN>2</BIN>:未来の人ってみんなすごいんだね……+思ったんだけどさ、あの二人が格闘ゲームのキャラだったら、絶対に強いよね？
FNFNC(0);FN49(0)<Speaker>FF FN49</Speaker>||<BIN>2</BIN>:……なぜ突然そんなことを思ったんです？
FNFNC(0)<Speaker>FF FNC</Speaker>;FN49(0)||<BIN>2</BIN>:う～ん……なんでだろ？
FNFNC(0)<Speaker></Speaker>;FN49(0)||<BIN>2</BIN>:ぐぅぅ～～～
FNFNC(0)<Speaker>FF FNC</Speaker>;FN49(0)||<BIN>2</BIN><黑屏1>:…………
FN-FNC()<Speaker>FF FNC</Speaker>||<BIN>9</BIN><黑屏2>:ねぇ、私おなか減ったよ、帰ってご飯食べようよ。
()||<BIN>9</BIN><黑屏2><黑屏1>:「ウサギ狩り作戦」終幕——
