()||<BGM>BGM_Empty</BGM><BIN>9</BIN><黑屏1>0,10</黑屏1>:
Sei(0);Stella(2)<Speaker>ステラ</Speaker>||<BGM>m_va_troubling_news</BGM>:以前アルマに頼んで……あの世界一のハッカーに鉄血のことを調べさせてもらった。+そして約束の日の夜、アルマはホワイトナイトに秘密逮捕されてしまって……さすがの私でもひやひやしたのもだ……
Dorothy(2)<Speaker>ドロシー</Speaker><Shake>;Stella(0)||:そんなこと知らない！きっとまたお姉ちゃんが……きっと……
Dorothy(2);Stella(2)<Speaker>ステラ</Speaker>||:その後、私はアルマとの約束通りに、任務を引き受けた人形との合流地点に行った。+結局Super-ShortyとIDWを見つけられなかったが、彼女たちは任務を完遂してくれた……+……鉄血のエルダーブレイン――エリザの体を合流地点に送ってきてくれたんだ。
Dorothy(2);Stella(2)<Speaker>ステラ</Speaker>||:彼女たちの犠牲を無駄にはしたくない。//nだからエリザの内部構造を研究して、鉄血のモジュールを外して自分のものにした。+そしてそれからずっと真実を追い続けてきた、鉄血、テラ・コンピューター、アナ……
Sei(2)<Speaker>セイ</Speaker>;Stella(2)||:あなたらしいね、ステラ。
Sei(2);Stella(0)<Speaker>ステラ</Speaker>||:私は誓ったのだ。//nグリフィンシティを救うためならどんな犠牲を払っても……+だが今事態が完全に暴走している……私の想像を遥かに超えて……
Sei(2)<Speaker>セイ</Speaker>;Stella(0)||:何もかも思い通りにすることはできないよステラ。+あなたは昔からそう。//nいつも他人のために思ってるけど、時々……ちょっと融通が利かないのよね。+あなたはいつも論理的で、自分一人ですべてを解決しようとするから、他人の考えが見えなくなってしまう……
Sei(2);Stella(0)<Speaker>ステラ</Speaker>||:私は……多少の代価と引き換えに良い結果を得られるのであれば、それは正しい判断だと思っている。
Sei(2)<Speaker>セイ</Speaker>;Stella(0)||:そうなのかもしれないね。でも、いつも自分だけで背負っちゃダメ。+時には、命令よりも信頼の方が頼りになることもあるから。//n私のことを信じてくれるように、たまには他の人のことも信頼してみて？
Dorothy(0)<Speaker>ドロシー</Speaker>;Stella(0)||:そうなんだよ！//n事前に相談してくれたら、少なくとも今のようにはならなかったはずでしょ！
Dorothy(0);Stella(0)<Speaker>ステラ</Speaker>||:い、いや、一応役に立つことはしただろ？+少なくとも私はアナを引きずり出した、あいつは全ての黒幕なんでしょう？
Dorothy(4)<Speaker>ドロシー</Speaker>;Stella(0)||:そうそう、でもあたしのお姉ちゃんは今どこにいるのかしら？
Dorothy(4);Stella(0)<Speaker>ステラ</Speaker>||:それは確かに問題だが、この世に存在を持たないやつが存在するなんて未だに信じがたい。
Sei(4)<Speaker>セイ</Speaker>;Stella(0)||:それ、何かの言葉遊び？+でも今回はステラが正しいのかもしれないわ。//nあなたは私の知っている一番賢い人間、きっと何か手掛かりがあるはずでしょ？
Sei(4);Stella(2)<Speaker>ステラ</Speaker>||:分からない……+今回の敵は完全に私の想像を超えている。//nもしかしたら、本当に「神」なのかもしれない……
Sei(3)<Speaker>セイ</Speaker>;Stella(2)||:あるいはただの幽霊かもしれないね。//nステラ、あれは何なのか、今はどうでもいいの。+覚えている？昔、アポロ信託銀行で鉄血に囲まれた時、あなたは何を言った？
Sei(3);Stella(0)<Speaker>ステラ</Speaker>||:人が最後に失うものは、希望だ。
Sei(4)<Speaker>セイ</Speaker>;Stella(0)||:そう、だからあの時私はビルから飛び降りて、一命を取り留めた。+そして、今はまだ「最後」じゃないわ、ステラ。
Sei(4);Stella(3)<Speaker>ステラ</Speaker>||:そうだな……+まだあなたがいてくれている、だからまだ最悪な状況ではない……//n私にはまだ、希望がある。+ただ今回は自分だけですべてを解決したりはしない……+ドロシー、姉に関して、まだ何か心当たりは？//nなんでもいいから教えてくれ。
Dorothy(4)<Speaker>ドロシー</Speaker>;Stella(3)||:うん……+認証番号VA-11のバーって知ってる？住民エリアの街角にあるの。
Dorothy(4);Stella(0)<Speaker>ステラ</Speaker>||:その番号……以前キラ☆ミキのブログで見て、行ったことがある。それがどうかしたのか？
Dorothy(4);Sei(0)<Speaker>セイ</Speaker>||:VA-11 Hall-A？？
Dorothy(6)<Speaker>ドロシー</Speaker>;Sei(0)||:あら！どうやらみんな行ったことあるみたいだね！//nあたしも行ったことあるよ！+アナは昔言ってたの……+あそこが……すべての始まりだって。
Dorothy(6);Stella(0)<Speaker>ステラ</Speaker>||:全ての始まり？住民エリアにあるバーで？+あのバー、何か特別なところでもあるのか？
Sei(0)<Speaker>セイ</Speaker>;Stella(0)||:私も数時間前に行ったばかり、ジェリコ隊長のお勧めでね。+あそこ、犬のおしっこくさい肥溜めみたいな匂いをしてるけど、オーナーはなかなか面白い人だったわ。にしても、普通のバーだと思うの。+いえ……普通のバーよりも普通で、派手なバーテンダーやヌンチャクを振り回してるような調合ショーもなかったね。
Sei(0);Stella(0)<Speaker>ステラ</Speaker>||:それでも行ってみる価値はある、何かの秘密を隠しているかもしれない。
Sei(3)<Speaker>セイ</Speaker>;Stella(0)||:でも危険じゃない？もしアナがいたら……
Sei(3);Stella(0)<Speaker>ステラ</Speaker>||:アナはあそこにいない可能性が高い。さっき突然ドロシーから離れて、それからずっと戻ってきていない。//nきっと何か予想外のことが起きているはず。+しかし念のために、セイ、ジェリコに連絡してほしい、ホワイトナイトを派遣してあそこで集合できるように。
Sei(3)<Speaker>セイ</Speaker>;Stella(0)||:分かった……でも応えてくれるかどうか分からないわ……
Dorothy(4)<Speaker>ドロシー</Speaker>;Stella(0)||:別に世界を救いたいのはあたしたちだけじゃないと思うよ。//nもうグリフィンシティ自体がメチャクチャだから、きっとみんな動いているよ！+もちろん、あのバーに行くんなら、まだまだ面倒なことがいっぱいあると思うけど。
Sei(3)<Speaker>セイ</Speaker>;Stella(0)||:その面倒なことは今すぐやってくるわ。+皆、もうすぐ政庁本部から出られる。//n多分だけど、少なくとも十機くらいの機甲が待ち構えていると思う。
Sei(3);Stella(0)<Speaker>ステラ</Speaker>||:少し時間を稼いでくれ、できる限り多くの人形をコントロールして協力させる。
Sei(3);Dorothy(6)<Speaker>ドロシー</Speaker>||:それじゃあデンジャラスドロシーちゃんに任せて！//nこういう時のために、体を改造しておいたんだから！
Sei(3)<Speaker>セイ</Speaker>;Dorothy(6)||:あなたの両手はMIRD113、ってことは……
Sei(3);Dorothy(3)<Speaker>ドロシー</Speaker>||<SE1>AVG_weapon_reload</SE1>:……そう！あたしは指先からクラス5の弾丸を発射できる！//nだから実はそんなに警備員はいらないんだよね！
Sei(2)<Speaker>セイ</Speaker>||<白屏1>:準備はいい？いくよ！
()<Speaker></Speaker>||<BIN>166</BIN><night><BGM>BGM_Empty</BGM><白屏2>:
()||<BGM>m_va_digital_drive</BGM><SE1>AVG_door_storehouse</SE1>:……セイは武器を掲げて、秘密通路の扉を開いた。
()||<SE2>Gunfight</SE2>:……バンバン！バンッ！
()||:……そして本部の外は乱戦の最中であり、ホワイトナイト機甲の残骸があっちこっちに転がっている。
NPC-Bodyguard1(0)<Speaker>人間の警備員</Speaker>||:ドロシー総理、無事でしたか！
NPC-Jason(0)<Speaker>人間の記者K</Speaker>||:おいおい、お前らやっと出てきたな！
Dorothy(0)<Speaker>ドロシー</Speaker>||:ハハハ、だから先住民の皆さんは信用できるって言ったでしょ！
Sei(2)<Speaker>セイ</Speaker>;Dorothy(0)||:先ほど、現場にいる人間と人形たちに、ビルから離れるための時間を稼いでほしいと頼んだけど。+まさか、ここまで戦ってくれたなんて。
Dorothy(6)<Speaker>ドロシー</Speaker>||:ステラ、【傘】ウィルスなんかなくても、きっとみんなは助けてくれるよ。
Stella(0)<Speaker>ステラ</Speaker>||:命令よりも頼れるのは、信頼……
WA2000(0)<Speaker>WA2000</Speaker><通讯框>||:ステラへ。+……左に注意。
()||<SE1>AVG_rifle_finalshot_h</SE1>:……バン！
()||<SE2>AVG_weapon_reload</SE2>:……襲い掛かってきた機甲は弾丸に撃ち抜かれた。
Stella(0)<Speaker>ステラ</Speaker>||:フン、まだ逃げてないのか？
WA2000(0)<Speaker>WA2000</Speaker><通讯框>||:なに言ってるのよ？//nあんた以外、私のギャラを払えるやつなんていないわ。
Stella(3)<Speaker>ステラ</Speaker>||:じゃあ生き残れ、そうすれば二倍の額を払ってやる。+皆！今はまだ希望がある！どうか力を貸してくれ！+そして今回は、もう【傘】ウィルスは使わない。//n皆、自分の意思で私たちに協力してほしい！
MP5(0)<Speaker>Gr MP5</Speaker>||:あ、あの人は……
MP446(0)<Speaker>MP-446</Speaker>||:さっきMP5にぶつかった先住民！全部あいつのせいか――
Dorothy(2)<Speaker>ドロシー</Speaker>||:グリフィンシティのみんな！よーく聞いて！+あたしは昔、色んな間違いをして、色んな問題から逃げてきた。+けど、あたしは間違っていた。今、あたしは見ている、すべての人形、すべての人間、すべてのネジと微生物たちを！
Dorothy(2)<Speaker>ドロシー</Speaker>||:あたしはずっと知っていた……誰かがグリフィンシティの裏で、すべてを操っていたことを。+そして、あなたたちはあたしと同じように、臆病で、真実と向き合う勇気はないって、思っていた。//nだからあたしは、この街の秘密をずっと隠してきた、みんなを騙し続けてきた……
Dorothy(0)<Speaker>ドロシー</Speaker>||:でも今日、あなたたちは勇気を振り絞って、戦っている！//nあたしはみんなの勇気と、心の希望を見えていなかった！だから……
Dorothy(6)<Speaker>ドロシー</Speaker>||:あたし！ラブリーなドロシー・ヘイズは！+グリフィンシティの全市民に協力を求めます！//nグリフィンシティのために、そして地球の最後の希望のために！この街の黒幕と、最後まで戦おう！
MP446(0)<Speaker>MP-446</Speaker>||:ドロシー総理だ！やっと言ってくれたね、本当のことを！
NPC-Jason(0)<Speaker>人間の記者K</Speaker>||:フン、それでこそ総理だ。
MP5(0)<Speaker>Gr MP5</Speaker>||:わ、わたしたちも手伝いましょう！+スティグマの出力を最大にして、グリフィン人形の実力を見せちゃいます！
NPC-Bodyguard1(0)<Speaker>人間の警備員</Speaker><Shake>||:おおおおおおぉぉぉぉぉぉ――！
NPC-Bodyguard2(0)<Speaker>人間の警備員</Speaker><Shake>||:ドロシーのために心臓を捧げよ――！！
Sei(4)<Speaker>セイ</Speaker>||:一気に士気が上がったね。
Stella(3)<Speaker>ステラ</Speaker>||:認めざるを得ないが、あなたたちは私と違ったやり方をするけど、結果に違いはない。
Dorothy(6)<Speaker>ドロシー</Speaker>||:そして今、私たちは同じ目標を持っている！+でも、気を緩めちゃダメ！//nホワイトナイトの機甲はあっちこっちにいるから、道を切り開かないと！
Sei(4)<Speaker>セイ</Speaker>||<黑屏1>:では行くよ、目標はVA-11バー！私についてきて！
