()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Truth</BGM>:
()<Speaker></Speaker>||<BIN>157</BIN><BGM>BGM_Empty</BGM><黑屏2>:しばらくして……アンジェが掩体に隠れていると、通信機から反応があった。
NPC-Persica(1)<Speaker>ペルシカ</Speaker><通讯框>||:<color=#00CCFF>アンジェ！アンジェ！無事？全然応答しないからてっきりもう……</color>
NPC-AngeDamage(0)<Speaker>アンジェリア</Speaker>;NPC-Persica(1)||<BGM>BGM_Room</BGM>:コホッコホッ……そう簡単に、あなたの考えたようにはならないさ……
NPC-AngeDamage(0);NPC-Havel(0)<Speaker>ハーヴェル</Speaker><通讯框>||:<color=#00CCFF>アンジェ、君ならきっと無事だと信じてたよ――</color>+<color=#00CCFF>ハハッ、もちろん嘘だ。今度こそ死ぬだろうと思っていたが、まさか生きているとは。こうして私を驚かしたのは二回目になるな。</color>
NPC-AngeDamage(0)<Speaker>アンジェリア</Speaker>;NPC-Havel(0)||:思い通りに死んでやれなくて残念だったわね。情報を交換しましょう。私はまだ汚染エリア内にいるが、反逆小隊と連絡が取れない。+もし彼女たちが任務を完成していなかったら、予備のプランやその先のことも考えておかないと……+ハーヴェル、私の命など全然気にしていないだろうけど一応聞いてみるわ、今から支援を送ることはできる？なんでもいいから。
NPC-AngeDamage(0);NPC-Havel(1)<Speaker>ハーヴェル</Speaker>||:<color=#00CCFF>私では、保安局の権限を無視して君を助けることはできない。局長に尋ねてみた方がいいのではないのかね？</color>
NPC-AngeDamage(3)<Speaker>アンジェリア</Speaker>;NPC-Havel(1)||:ふざけないで！+あの爆弾まで使ったんだ、今さら権限がないだって！？
NPC-AngeDamage(3);NPC-Havel(1)<Speaker>ハーヴェル</Speaker>||:<color=#00CCFF>落ち着け、若者よ。頭に血が上ると感染速度も速まるぞ。</color>
NPC-AngeDamage(0)<Speaker>アンジェリア</Speaker>;NPC-Havel(1)||:……感染してること、知ってたの？
NPC-AngeDamage(0);NPC-Havel(1)<Speaker>ハーヴェル</Speaker>||:<color=#00CCFF>コーラップス液爆弾の汚染範囲内にいるのなら、必ず広域性低放射感染の影響を受ける。生きて帰れかどうかは君の体質次第だ。現状を見るに、結構耐性はあるようだな。</color>
NPC-AngeDamage(0)<Speaker>アンジェリア</Speaker>;NPC-Havel(1)||:そりゃお気遣いどうも……
NPC-AngeDamage(0);NPC-Persica(3)<Speaker>ペルシカ</Speaker><通讯框>||:<color=#00CCFF>慌てないでアンジェ、ハーヴェルはさっきからずっと支援を手配しているから、まずは話を聞いて。</color>
NPC-AngeDamage(0)<Speaker>アンジェリア</Speaker>;NPC-Persica(3)||:分かったわ……コホッコホッ……とりあえずは……
NPC-AngeDamage(0);NPC-Havel(1)<Speaker>ハーヴェル</Speaker><通讯框>||:<color=#00CCFF>申し訳ない、では本題に入ろうか。私は君たちの局長ゼリンスキーと連絡を取ってみるよ。</color>+<color=#00CCFF>ただし君も分かっていると思うが、彼らに直接支援を派遣させるのは難しい。だから君も彼と連絡を取らなかったのだろう？</color>
NPC-AngeDamage(2)<Speaker>アンジェリア</Speaker>;NPC-Havel(1)||:確かにあてにすることはできないわね。特にコーラップス爆弾を使った後じゃ、私と局長はもはや敵同士……
NPC-AngeDamage(2);NPC-Havel(1)<Speaker>ハーヴェル</Speaker>||:<color=#00CCFF>しかし、こちらの邪魔をさせないようにすることはできる。そして私とペルシカも、他の解決策を用意している。</color>+<color=#00CCFF>他人を頼るよりも、自分を頼る方がいい、そうなのではないかね、ペルシカ？</color>
NPC-AngeDamage(0);NPC-Persica(3)<Speaker>ペルシカ</Speaker><通讯框>||:<color=#00CCFF>ごめんアンジェ。この前、人形の武装じゃ軍に対抗できないって言ってた時に思ったの……</color>+<color=#00CCFF>グリフィンの指揮官が以前鉄血のボスを捕獲したの覚えてる？</color>
NPC-AngeDamage(0)<Speaker>アンジェリア</Speaker>;NPC-Persica(3)||:なんだっけ……確か……「アーキテクト」って人形のこと？
NPC-AngeDamage(0);NPC-Havel(1)<Speaker>ハーヴェル</Speaker><通讯框>||:<color=#00CCFF>よく覚えているな。あれはいい技術サンプルだった、こちらに対しても協力的でな。</color>+<color=#00CCFF>ペルシカはあいつとあいつの武器から様々なデータを取った。そして新しいものを開発した。</color>
NPC-AngeDamage(0)<Speaker>アンジェリア</Speaker>;NPC-Havel(1)||:敵の素体で武器開発を？
NPC-AngeDamage(0);NPC-Havel(1)<Speaker>ハーヴェル</Speaker>||:<color=#00CCFF>別に感謝してはいないがな。</color>+<color=#00CCFF>もともとはペルシカが前から研究していたものでな、理論上では人形に重火力武器を装備させることができる。非常に強力ではあるが、当然、開発コストも大きい。複数の人形で複雑な武器を操作させるAIはそう簡単に造れはせん。</color>
NPC-AngeDamage(0)<Speaker>アンジェリア</Speaker>;NPC-Havel(1)||:重火力武器の操作？それはもう民間軍事会社に関する条例を違反してるでしょ？
NPC-AngeDamage(0);NPC-Havel(0)<Speaker>ハーヴェル</Speaker>||:<color=#00CCFF>高価で、危険で、違法。売り物にすることはできんな。本来なら、投資者としてペルシカの研究を止めるべきではあるが。</color>
NPC-AngeDamage(0)<Speaker>アンジェリア</Speaker>;NPC-Havel(0)||:あんたの性格からして、こういうリスキーなものは大好物でしょうね……
NPC-AngeDamage(0);NPC-Havel(0)<Speaker>ハーヴェル</Speaker>||:<color=#00CCFF>「スリルのない武器に価値はない！」//n感謝したまえ、私の性格で、君にも助かる可能性が出てきた。</color>
NPC-AngeDamage(0)<Speaker>アンジェリア</Speaker>;NPC-Havel(0)||:コホッコホッ……感謝するよ……+ただしハーヴェル、一つだけ間違っていることがあるわ。//n私がここから逃げ出せる可能性なんてゼロに等しい。+あんたが支援すべきなのは、グリフィンの指揮官だ。//nその高価で、危険で、違法なものを、あいつらに渡せ。そうすれば、グリフィンの部隊は包囲を突破することができる……
NPC-AngeDamage(0);NPC-Persica(1)<Speaker>ペルシカ</Speaker><通讯框>||:<color=#00CCFF>アンジェ！何言ってるの！今一番に助けなければならないのはあなたよ……！</color>
NPC-AngeDamage(2)<Speaker>アンジェリア</Speaker>;NPC-Persica(1)||:私？今の私に何ができる……？汚染エリアの中でかろうじて生き延びてるだけ。エルダーブレインを追うことはできないし、軍に対抗できる人形もいない……+その重火力の人形とやらを送ってこられても、ELID感染者をなんとかあしらうくらいのことしかできないでしょ。//nそんなことしても意味はない……ハーヴェル、あんたは無駄なところに金を使わないのでしょ？
NPC-AngeDamage(2);NPC-Havel(1)<Speaker>ハーヴェル</Speaker><通讯框>||:<color=#00CCFF>……</color>
NPC-AngeDamage(2);NPC-Persica(3)<Speaker>ペルシカ</Speaker><通讯框>||:<color=#00CCFF>でも……</color>
NPC-AngeDamage(3)<Speaker>アンジェリア</Speaker>;NPC-Persica(3)||:事実を言っただけよ。私は結果から逆算して計画を立てるの、知ってるでしょ？
NPC-AngeDamage(3);NPC-Havel(1)<Speaker>ハーヴェル</Speaker><通讯框>||:<color=#00CCFF>本当にいいのかい？自分の命と引き換えにその指揮官を助けると？</color>
NPC-AngeDamage(3)<Speaker>アンジェリア</Speaker>;NPC-Havel(1)||:引き換えではない、選択よ……//nそれに、私はまだ自分を諦めたわけではないのよ……+今の私には指揮なんてできないから、あの指揮官に任せた方がまだチャンスがあるということ。+あの指揮官は軍との戦いで自らの能力を証明してくれた。//nもし反逆に支援が必要なら、あの指揮官も黙ってはないでしょ……+そしてたとえ任務が失敗しても……少なくともグリフィンは存続できる。
NPC-AngeDamage(3);NPC-Havel(1)<Speaker>ハーヴェル</Speaker>||:<color=#00CCFF>グリフィンのため、か。ここは感動すべきところなのかな？</color>
NPC-AngeDamage(2)<Speaker>アンジェリア</Speaker>;NPC-Havel(1)||:私もあそこにいたからね、わりと気に入ってるのさ……+とにかく早くして。このままだと、グリフィンすら助けられなくなるわよ。
NPC-AngeDamage(2);NPC-Havel(1)<Speaker></Speaker>||:……通信機の向こうでハーヴェルは大きくため息を吐いた。
NPC-AngeDamage(2);NPC-Havel(1)<Speaker>ハーヴェル</Speaker>||:<color=#00CCFF>君のことは諦めないぞ。でも、君の決断も理解した。</color>+<color=#00CCFF>例の指揮官のことは知っているが、位置座標は分からん。</color>
NPC-AngeDamage(0)<Speaker>アンジェリア</Speaker>;NPC-Havel(1)||:もしグリフィンが移動していないなら、指揮官はまだ臨時司令部にいるはずよ。+あそこは爆心地から少し離れているから、生き残っているグリフィンの人形やスタッフもいるはず。火力の支援以外にも、彼らの撤退を手伝ってほしい……
NPC-AngeDamage(0);NPC-Havel(1)<Speaker>ハーヴェル</Speaker>||:<color=#00CCFF>とは言っても、衛星通信できる君以外では、彼らと連絡する手段がないぞ。</color>
NPC-AngeDamage(0)<Speaker>アンジェリア</Speaker>;NPC-Havel(1)||:通信ステーションを探してチャンネルを作るさ……できるかどうかは分からないけど……
NPC-AngeDamage(0);NPC-Havel(1)<Speaker>ハーヴェル</Speaker>||:<color=#00CCFF>なら君も急ぐことだ。そうすれば治療も受けられるかもしれない。</color>+<color=#00CCFF>私は輸送機の手配をしてくるから少し離れる。//n君が無事その時まで生き残れることを祈ってるぞ。</color>
NPC-AngeDamage(0)<Speaker></Speaker>||:ハーヴェルはチャンネルからログアウトした。
NPC-AngeDamage(0);NPC-Persica(3)<Speaker>ペルシカ</Speaker><通讯框>||:<color=#00CCFF>アンジェ、グリフィンの座標を知ってるなら、彼らのところまで撤退できれば………</color>
NPC-AngeDamage(0)<Speaker>アンジェリア</Speaker>;NPC-Persica(3)||:分かっている、それが最後のチャンスということもね。//n先に私の言う通りに動いて……私も何とかグリフィンの方に向かうから……+感染者が来ている、移動しないと。話はまた後で。
NPC-Persica(3)<Speaker>ペルシカ</Speaker>||:<color=#00CCFF>アンジェ、待って！私たちも――</color>
()<Speaker></Speaker>||:……アンジェは通信を閉じた。
NPC-AngeDamage(2)<Speaker>アンジェリア</Speaker>||:この顔を見たら、何をしても遅いと分かるわよ。+まぁ、この顔すらもう残らないかもしれないけど……
NPC-AngeDamage(2)<Speaker></Speaker>||:……アンジェは壁にもたれて溜息を吐いた。
NPC-AngeDamage(2)<Speaker>アンジェリア</Speaker>||:面倒なことになってるな……正直もう一歩も動きたくない……
()<Speaker></Speaker>||:……足音と唸り声が段々と近づいてくる。
NPC-AngeDamage(3)<Speaker>アンジェリア</Speaker>||<黑屏1>:ちっ、気づかれたか……+あまり長生きできないとはいえ……こんなところで死ぬのもみっとっもないな……+もう少し頑張りなさいよ、アンジェリア……
()<Speaker></Speaker>||<BIN>157</BIN><黑点2><BGM>BGM_Empty</BGM>:……アンジェは次々と掩体の後ろに逃げ込んだが、バケモノの唸りがずっと付き纏ってきた。
NPC-AngeDamage(3)<Speaker>アンジェリア</Speaker>||<BGM>BGM_Sad</BGM>:体力が限界……+これ以上は無理かもね……
()<Speaker>？？</Speaker>||<震屏>:グゥアアアアアアァァァァァァ――
NPC-AngeDamage(3)<Speaker>アンジェリア</Speaker>||:どこだ……+声が近づいてくる……+どこにいる……！
NPC-AngeDamage(3)<Speaker>アンジェリア</Speaker><Shake>||:……！！+後ろか！
()<Speaker></Speaker>||<SE2>MachineGunBurst</SE2>:……アンジェは振り返り拳銃でそのバケモノを撃った！+……しかし！
()<Speaker>？？</Speaker>||<震屏>:グゥアアアアアアァァァァァァ――！！
NPC-AngeDamage(3)<Speaker>アンジェリア</Speaker>||:この程度じゃ死なないのか！+さすが――！
NPC-AngeDamage(3)<Speaker>アンジェリア</Speaker>||<震屏><SE2>MachineGunBurst</SE2>:Ｅ！
NPC-AngeDamage(3)<Speaker>アンジェリア</Speaker>||<震屏><SE2>MachineGunBurst</SE2>:Ⅼ！
NPC-AngeDamage(3)<Speaker>アンジェリア</Speaker>||<震屏><SE2>MachineGunBurst</SE2>:Ｉ！
NPC-AngeDamage(3)<Speaker>アンジェリア</Speaker>||<震屏><SE2>MachineGunBurst</SE2>:Ｄ！
NPC-AngeDamage(3)<Speaker>アンジェリア</Speaker>||<震屏><SE2>MachineGunBurst</SE2>:感！染！者！
()<Speaker></Speaker>||:……
()<Speaker></Speaker>||<震屏>:……バケモノはようやく倒れた。
NPC-AngeDamage(0)<Speaker>アンジェリア</Speaker>||:ハァ……！+ハァ……！+ゴホッゴホッ……！+なんだ……殺せるじゃないか。
()<Speaker>ゾンビ</Speaker>||<震屏>:グゥアアアアアアァァァァァァ――！！
()<Speaker></Speaker>||:……さらに多くの感染者が四方から湧き出て来た。
NPC-AngeDamage(3)<Speaker>アンジェリア</Speaker>||:銃声に引き寄せられたか？
()<Speaker></Speaker>||:……アンジェは引き金を引いたが、もう弾薬は残っていなかった。
NPC-AngeDamage(0)<Speaker>アンジェリア</Speaker>||:でしょうね……
()<Speaker></Speaker>||:……アンジェは武器を捨て、両腕を広げた。
NPC-AngeDamage(0)<Speaker>アンジェリア</Speaker>||:ここでいいか。誰にも気づかれずに……
()<Speaker>ゾンビ</Speaker>||<震屏>:グゥアアアアアアァァァァァァ――！！
()<Speaker>？？</Speaker>||<BGM>BGM_Empty</BGM>:あら……もう遺言まで考えたの？
()<Speaker>？？</Speaker>||:来るのが少し早かったようですね。
NPC-AngeDamage(0)<Speaker>アンジェリア</Speaker>||<黑屏1><CGDelay>0.4</CGDelay>:あなたたちね……
()<Speaker>アンジェリア</Speaker>||<BIN>9</BIN><黑屏2>:まだ私が後悔できるうちに、はやく何とかしてちょうだい。
()<Speaker></Speaker>||<SE2>Gunfight</SE2><黑屏1>:……
()<Speaker></Speaker>||<BIN>157</BIN><BGM>BGM_Sneak</BGM><黑屏2>:……
NPC-AngeDamage(0)<Speaker>アンジェリア</Speaker>||:どうやって私を見つけた……
NPC-AngeDamage(0);AK12(0)<Speaker>AK-12</Speaker>||:あなたがずっと呼んでたんじゃない。通信はできないけど、位置の特定はできるわ。+もうダメだと思っていたけど、意外とまだ元気のようね。おかげであれを倒しながら追いかけないといけない羽目になったし。
NPC-AngeDamage(0)<Speaker>アンジェリア</Speaker>;AK12(0)||:ちっ、動きたくない直感の方が正しかったか。
AK12(0)<Speaker>AK-12</Speaker>||:それよりも、まさかこんなものが本当に存在していたとはね。あの訓練が役に立つ日が来るなんて思いもしなかったわ。
AK12(0)<Speaker></Speaker>||:……AK12は足で適当に感染者の死体を蹴り転がした。
AK12(0)<Speaker>AK-12</Speaker>||:ただの、気持ち悪いバケモノのくせに。
AN94(0)<Speaker>AN-94</Speaker>||:これが広域性低放射感染者……
NPC-AngeDamage(0)<Speaker>アンジェリア</Speaker>||:通称ELID。直で見るのは初めてでしょう？大戦後では確かに珍しくなっている。+耐性の低い一般人だと放射線を浴びてすぐ死ぬ。耐性を持ってる者でも、感染が進むとこのようになる。体が結晶化し、理性を失って、死ぬまで暴れまわる。+幸い、爆発からまだそんなに時間が経ってないから、こいつらもそんなに狂暴化していない。汚染エリアに長く居続けるほど、こいつらは恐ろしい存在になる。
AK12(0)<Speaker>AK-12</Speaker>||:この感染者たちは、M4が起爆したコーラップス液爆弾の影響を受けた軍の兵士ってこと？
NPC-AngeDamage(0)<Speaker>アンジェリア</Speaker>||:そうね。今はまだ爆心地エリアにいる人間だけがああなっているでしょうけど。+汚染が広がっていくにつれて、撤退に間に合わなかった人間もああなる……+……私のようにな。
AN94(0)<Speaker>AN-94</Speaker>||:まだ暫くはなりません。簡単な治療処置をするので、我慢してください。
AK12(0)<Speaker></Speaker>||:……AK12は地面に落ちた拳銃を拾った。
NPC-AngeDamage(0)<Speaker>アンジェリア</Speaker>;AK12(0)||:あれはもう弾切れよ。
NPC-AngeDamage(0);AK12(0)<Speaker>AK-12</Speaker>||:でも、死体を識別できる手掛かりは欲しいよね。
NPC-AngeDamage(0)<Speaker></Speaker>||:……アンジェは痛みに耐えながら、渋々と拳銃を受け取った。
NPC-AngeDamage(0)<Speaker>アンジェリア</Speaker>||:コホッ……銃で死体を識別するのは非効率よ。
NPC-AngeDamage(0);AN94(0)<Speaker>AN-94</Speaker>||:動かないで、アンジェ。まだ消毒が済んでいない。
NPC-AngeDamage(0)<Speaker>アンジェリア</Speaker>;AN94(0)||:やめなさい、コホッコホッ……これはコーラップス放射……皮膚が表面から爛れて結晶化する。消毒したところでなんの意味もないわ……+さらに体の筋肉と血管も徐々に硬質化していく……人形のあなたたちじゃ、その苦しさを理解できないでしょう……+あなたたちが来るまでもったのがすでに運がいい方……てっきりもうM4と一緒に……
NPC-AngeDamage(0);AN94(0)<Speaker>AN-94</Speaker>||:M4A1はエルダーブレインを追いかけて、軍の大陸横断列車に乗りました。
NPC-AngeDamage(0);AK12(0)<Speaker>AK-12</Speaker>||:AR15も一緒についていったわ。止めても言うこと聞かないし。
NPC-AngeDamage(3)<Speaker>アンジェリア</Speaker>;AK12(0)||:ならあなたたちもついていくべきだったね。あれは任務だと言ったはずよ。
NPC-AngeDamage(3);AN94(0)<Speaker>AN-94</Speaker>||:当時の私たちの役割は、彼女たちを列車まで援護することです。列車が動いた以上、もう私たちではどうにもなりません。+任務はすでに完成した、なので今一番重要なのはあなたです。
NPC-AngeDamage(3)<Speaker>アンジェリア</Speaker>;AN94(0)||:私？私を捨てた方がまだ希望があるかもしれないわ。//n通信機を持ってペルシカと連絡して、そして彼女の指示に従って撤退しなさい。
NPC-AngeDamage(3);AK12(4)<Speaker>AK-12</Speaker>||:諦めるの、アンジェ？いつからそう悲観的になったの？
NPC-AngeDamage(3)<Speaker>アンジェリア</Speaker>;AK12(4)||:なら私を支えながら片腕で敵に射撃することはできる？+このゾンビ映画の役者ども以外に、軍もまだいる。あいつらは爆弾の一つで完全に止まるはずがない。+もしエゴールがまだ生きているのなら、あいつの目的はもう一つしか残ってない――//n報復。私たちを、殺す。
NPC-AngeDamage(3);AN94(0)<Speaker>AN-94</Speaker>||:ならここを離れます。+途中で再利用できるグリフィンのタミーが残っているかもしれないし、なんとかなると思います。
NPC-AngeDamage(2)<Speaker>アンジェリア</Speaker>||:汚染エリア内ではすべての信号がジャミングを受ける。ナビゲーション設備も故障して、どこへ行けばいいのか分からないわ。+もうこれでいい……疲れた……少し休ませて……
AK12(3)<Speaker>AK-12</Speaker>||:アンジェ！
()<Speaker></Speaker>||<震屏>:パチッ！+AK12がアンジェに思いっきりビンタを入れた。
AK12(3)<Speaker>AK-12</Speaker>||:アンジェ！さっきは衛星通信設備を持ってペルシカと連絡を取るようにって言ったよね！//nそれってつまり何かのプランはあるってことでしょ！//nだったら汚染エリアから抜けだせれば撤退するのこともできる、そうでしょ！
NPC-AngeDamage(0)<Speaker>アンジェリア</Speaker>||:…………
AK12(3)<Speaker>AK-12</Speaker>||:苦しいのは分かるけど、こんな簡単にあきらめるなんてあんたらしくないわよ！+帰ったら一杯奢るって言ってたわよね！もしそんなに楽になりたいなら、今すぐその願いを叶えてあげるわ！これで死に様も少しはマシになるでしょうね！
()<Speaker></Speaker>||<SE1>Select</SE1>:AK12が銃口をアンジェの頭に向けた。
AN94(2)<Speaker>AN-94</Speaker>||:AK12……それはダメ……！
()<Speaker></Speaker>||:まるで空気が凍りついたように、数秒間二人はそのまま対峙していた。
NPC-AngeDamage(0)<Speaker>アンジェリア</Speaker><Shake>||:ふっ……フフ……+フハハハハハハ……+
NPC-AngeDamage(3)<Speaker>アンジェリア</Speaker><Shake>||:あ痛たたたた……+クソ、笑いすぎた……
AK12(3)<Speaker></Speaker>||:銃を持ったAK12の手が微かに震えている。
NPC-AngeDamage(0)<Speaker>アンジェリア</Speaker>||:私の命令を拒んでいるだけで、メンタルがオーバーロードしそうでしょ。//nこんなところで壊れたりしたら、今度こそ私を連れ出せる者がいなくなるぞ。
NPC-AngeDamage(0);AK12(4)<Speaker>AK-12</Speaker>||:あなたに対して、張ったりは通じないようね。
NPC-AngeDamage(0)<Speaker>アンジェリア</Speaker>;AK12(4)||:IFFを設定したのはこの私よ。というより、よくこんな真似ができたものね。
NPC-AngeDamage(0);AK12(4)<Speaker>AK-12</Speaker>||:「反逆」って、そういう意味なんじゃないの？知ってると思うけど、私たちは今までのあなたの人形部下と違うわよ。
NPC-AngeDamage(0)<Speaker>アンジェリア</Speaker>;AK12(4)||:ふっ……どうでもいいことだったから忘れそうになっていたわ。+AN94、治療を中止して、直ちに出発するわ。
NPC-AngeDamage(0);AN94(4)<Speaker>AN-94</Speaker>||:でもまだ包帯が……
NPC-AngeDamage(0)<Speaker>アンジェリア</Speaker>;AN94(4)||:いらない。どうせ包帯しても意味がない。とにかく、先に行動を始めましょう。
NPC-AngeDamage(0);AK12(0)<Speaker>AK-12</Speaker>||:いつも通りに、まずは自信満々に作戦計画を教えてくれないの？
NPC-AngeDamage(0)<Speaker>アンジェリア</Speaker>;AK12(0)||:計画？計画は北に向かって真っすぐ、行けるところまで行く。
NPC-AngeDamage(0);AK12(0)<Speaker>AK-12</Speaker>||:なんで北なの？それに本当に直線移動でいいの？感染者もいっぱいいるでしょうし、回避しながら進む方が安全じゃない？
NPC-AngeDamage(0)<Speaker>アンジェリア</Speaker>;AK12(0)||:北の方にまだ安全なエリアが存在する可能性がある。直線で行った方が一番早いって小さい頃習ったからね。賭けるならもうこれしか選択肢はない。
AK12(2)<Speaker>AK-12</Speaker>||:その通りにするわ。94、近くに感染者が20人ほどいる、戦闘準備を。+私は前で道を開く、あなたはアンジェを守りながら移動して、一歩も離れないでよね。
AN94(0)<Speaker>AN-94</Speaker>||:了解、護衛に集中します。
AK12(2)<Speaker>AK-12</Speaker>||<黑屏1>:では、作戦開始！
()||<BIN>10</BIN><黑点2>:
