()||<BIN>99</BIN><BGM>BGM_Danger</BGM><SE1>Battlefield</SE1>:…………パンッ！+……パンパンッ！
Carcano1891(0)<Speaker>カルカノM1891</Speaker>||:あの、もう心配していただかなくとも大丈夫です！ワタシたちの指揮官の援軍も、直に到着しますので。
NPC-Yegor(1)<Speaker>エゴール</Speaker>||:……
Carcano1891(0)<Speaker>カルカノM1891</Speaker>||:あのー……？
()||:……エゴールは人形には目もくれず、M4A1とROのいるセーフハウスへと歩み入る。
SOPII(3)<Speaker>M4 SOPMOD II</Speaker>||:あの、すみません！その扉は開けないでください…！。+負傷者が中で治療を受けているんです！
NPC-Yegor(1)<Speaker>エゴール</Speaker>||:M4A1は中か？
SOPII(3)<Speaker>M4 SOPMOD II</Speaker>||:え？+どうしてそれを……？
()||:……エゴールは手を伸ばし、扉を開けようとした。
SOPII(3)<Speaker>M4 SOPMOD II</Speaker>||:ちょっと——！やめてくだ……――
()||<SE1>Select</SE1><BGM>BGM_Empty</BGM>:――……！+……SOP IIが近づこうとした瞬間、軍用人形に突然武器を向けられた。
Carcano1891(0)<Speaker>カルカノM1891</Speaker>||:落ち着いてください！エゴール大尉！//n申し訳ございません、彼女は決して悪気があったわけでは！
NPC-Yegor(1)<Speaker>エゴール</Speaker>||:分かっている。+悪意を持っているのは、指揮官と連絡を取ろうとしているそこの人形だ。
Carcano1938(0)<Speaker>カルカノM91/38</Speaker>||:……！
NPC-Yegor(1)<Speaker>エゴール</Speaker>||:無駄な抵抗はやめろ。通信は既に断っている。
SOPII(3)<Speaker>M4 SOPMOD II</Speaker>||:……+一体……何を……？
NPC-Yegor(1)<Speaker>エゴール</Speaker>||:お前たちは知らなくていい事だ。+どうせ記憶に残らないのだからな。
()||<BIN>9</BIN><SE1>Select</SE1>:……エゴールは突然武器を取り出した。
()||<SE2>MachineGunBurst</SE2>:…………
卡诺()<Speaker>カルカノM1891</Speaker>||:SOP II——！！
叶戈尔()<Speaker>エゴール</Speaker>||<BGM>BGM_Truth</BGM>:五分残っている。+ここにいる奴ら、全員始末しろ。
军方人形()<Speaker>軍用人形</Speaker>||<SE2>Gunfight</SE2>:ラジャー。
叶戈尔()<Speaker>エゴール</Speaker>||:おいお前、ドアを爆破しろ。
()||<SE1>Explode</SE1><黑屏1>:…………+……ドーン！
RO635()<Speaker>RO635</Speaker>||<黑屏2><BIN>115</BIN><SE2>Gunfight</SE2>:……今の音は何！？+M4、M4聞こえてますか！？+ダメ、ここでは危険過ぎます。ひとまず、あなたを外へ運びます。+M4A1、さあ、わたしについて来――
()||<BIN>116</BIN><震屏>:……
叶戈尔()<Speaker>エゴール</Speaker>||:人形風情が邪魔をするな。
()||<黑屏1>:…………！！
()||<黑屏2><BIN>9</BIN><SE1>MachineGunBurst</SE1>:……バン！+……
叶戈尔()<Speaker>エゴール</Speaker>||:さぁ、目を覚ませ、M4A1。+……その新しい姿で、私たちのために【鍵】を探すのだ。
()||<黑屏1><SE2>AVG_Rain2</SE2>:…………ザザー！
M4A1()<Speaker>M4A1</Speaker>||<黑屏2><BIN>112</BIN>:…………
M4A1()<Speaker>M4A1</Speaker>||:ぁ……+ぁあ……ああ……
M4A1()<Speaker>M4A1</Speaker>||<BIN>113</BIN><震屏><黑屏1>:あああああああああ——！！！
