()||<BIN>9</BIN><SE1>AVG_Rain2</SE1><BGM>BGM_Empty</BGM>:……
AR15()<Speaker>AR-15</Speaker>||<BIN>118</BIN><SE1>AVG_Rain2</SE1>:……今はそれどころじゃないの。鉄血のエリートがまだ近くにいる。+目の前のことに集中して、今は大人しく私と撤退することね。
M4A1()<Speaker>M4A1</Speaker>||<BIN>118</BIN><黑屏1>:……+SOP II……+RO……
M4A1()<Speaker>M4A1</Speaker>||<BIN>9</BIN><黑屏2>0.8</黑屏2><黑屏1>2</黑屏1>:私……憶えてる……+ROは確か……
M4A1()<Speaker>M4A1</Speaker>||<BIN>9</BIN><黑屏2>:いや！私……みんなを見捨てたりなんて出来ない！+お願い！行かせて！
AR15()<Speaker>AR-15</Speaker>||<BIN>9</BIN>:落ち着きなさい！今のあんたじゃ、十歩も歩かないうちに鉄血に捕まるわ。
M4A1()<Speaker>M4A1</Speaker>||<BIN>9</BIN><黑屏1>:なら、こんなことになったのは誰のせいだっていうの！
AR15()<Speaker>AR-15</Speaker>||<BIN>117</BIN><黑屏2><SE2>AVG_Rain2</SE2>:あんたを狙ってる奴から切り離すために、セカンダリレベルから切断せざるを得なかったのよ。
M4A1()<Speaker>M4A1</Speaker>||<BIN>117</BIN>:私を狙って？+……誰？誰なの？
AR15()<Speaker>AR-15</Speaker>||<BIN>117</BIN>:まさか、本当に鉄血だけが敵だと思ってる？
M4A1()<Speaker>M4A1</Speaker>||<BIN>117</BIN>:ど……どういうこと……？+グリフィンの任務は……鉄血を倒すことじゃなかったの……？+それじゃ、仲間の犠牲は……私の目指してた道は……
AR15()<Speaker>AR-15</Speaker>||<BIN>117</BIN><黑屏1>:とにかく、今は休んでなさい。+必要な力は、その後で与えるわ……
M4A1()<Speaker>M4A1</Speaker>||<BIN>9</BIN><黑屏2>:…………
AR15()<Speaker>AR-15</Speaker>||<BIN>9</BIN>:M4？
AK12()<Speaker>AK-12</Speaker>||<BIN>9</BIN><黑屏1>:メンタルモデルへの負担が大きすぎて、プライマリレベルでの意識を保てないんだわ。
AR15Mod(0)<Speaker>AR-15</Speaker>||<BIN>99</BIN><黑屏2>:まったく……+AK-12、現場で何を見たか教えて……
AR15Mod(0);AK12(0)<Speaker>AK-12</Speaker>||<BIN>99</BIN>:悪い知らせばかりよ。+まず、M4 SOPMOD IIが失踪した。//nこの近くにいないことも確かめたし、//n彼女に関する手がかりもなかったわ。
AR15Mod(0)<Speaker>AR-15</Speaker>;AK12(0)||<BIN>99</BIN>:…………
AR15Mod(0);AK12(0)<Speaker>AK-12</Speaker>||<BIN>99</BIN>:ストレートに言い過ぎたかしら？
AR15Mod(0)<Speaker>AR-15</Speaker>;AK12(0)||<BIN>99</BIN>:いいえ、それでいいわ……+ROは？私が見た時は……
AR15Mod(0)<Speaker></Speaker>;AK12(0)||<BIN>99</BIN>:……AK-12はため息をついた。
AR15Mod(0);AK12(0)<Speaker>AK-12</Speaker>||<BIN>99</BIN>:RO635は完全に機能を停止しているわ。だから……
AR15Mod(0)<Speaker>AR-15</Speaker>;AK12(0)||<BIN>99</BIN>:……+絶対に……奴らを許さない。+それで、戦死した人形のメンタルモデル回収についてだけど……
AR15Mod(0);AK12(0)<Speaker>AK-12</Speaker>||<BIN>99</BIN>:それが、RO635のメンタルモデルは丸ごと抜き取られていたのよ。+機能停止後の出来事であるのは確かだわ。
AR15Mod(0)<Speaker>AR-15</Speaker>;AK12(0)||<BIN>99</BIN>:……+それがいい知らせなのかどうか……
AR15Mod(0);AK12(0)<Speaker>AK-12</Speaker>||<BIN>99</BIN>:ポジティブに考えるならば、奇襲を逃れたSOP IIがROのメンタルを持ち去ったってところね。+これなら満足？
AR15Mod(0)<Speaker>AR-15</Speaker>;AK12(0)||<BIN>99</BIN>:……+そうだといいわね。
AR15Mod(0);AK12(0)<Speaker>AK-12</Speaker>||<BIN>99</BIN>:もちろん、そんな風に考えない方がいいわ。期待が外れた時のためにもね。+ただ、人のことはとりあえず後にしましょ。+この先、十一時と五時の方向にそれぞれ二つの鉄血小隊を確認している。//nしかも周辺の地形が劣悪なせいで、正面からの衝突は避けられないわ。
AR15Mod(0)<Speaker>AR-15</Speaker>;AK12(0)||<BIN>99</BIN>:よくそんな風にお喋りしながら戦況の把握ができるわね。
AR15Mod(0);AK12(0)<Speaker>AK-12</Speaker>||<BIN>99</BIN>:私をみくびっているのかしら？それとも自分を過大評価しすぎたのかな？
AR15Mod(0)<Speaker>AR-15</Speaker>;AK12(0)||<BIN>99</BIN><黑屏1>:どっちでもないわ、結果にものを言わせましょう。
AR15()<Speaker>AR-15</Speaker>||<BIN>9</BIN><黑屏2><黑屏1>:（M4……もしあんたが、今のAR小隊の状況を知ったら……）+（あんたなら……どうする？）
