()||<BIN>22</BIN><BGM>BGM_Sunshine</BGM>:…………作戦終了。
BOSS-6(0)<Speaker>デストロイヤー</Speaker>||<BIN>34</BIN><黑屏2>:ちょっとあんた、また忘れたの？+あたしは電子戦タイプじゃないんだよ。//nネットワークでの検索能力なんてものはないの！
BOSS-6(0);BOSS-11(0)<Speaker>ドリーマー</Speaker>||:だったら自分の足で捜しにいけばいいじゃない、しらみつぶしに当たるくらいできるでしょ？
BOSS-6(0)<Speaker>デストロイヤー</Speaker>;BOSS-11(0)||:あたしは単独行動が得意な人形でもないのよ！//n一人で行くなんて危険すぎるでしょ！+前回も死にかけたし、毎回大勢のグリフィン人形に襲われてるし！+ていうか、もっと強力なボディをくれるって約束したじゃん！//nくれないなら、わざわざ死ににいくなんてゴメンよ！
BOSS-6(0);BOSS-11(0)<Speaker>ドリーマー</Speaker>||:そんなこと約束したっけ？//n一睡したら色々と忘れちゃうわねぇ。+まあいいわ。ならお望み通り、新しいボディをあげる。//nちょうどあたしも考えていたところだし……+それで、もっと強い火力がほしいの？それとも素早さ？或いは……華麗なスキルとか？
BOSS-6(0)<Speaker>デストロイヤー</Speaker>;BOSS-11(0)||:か……華麗な？ほしいかも……+いやいや、そうじゃなくて、全部丸ごとパワーアップする選択肢はないの？！+あたしを騙そうたって無駄よ。あんたが製造ラインの権限を握ってることは知ってるんだから！自分には強力なモジュールをつけまくるくせに、あたしには何もなし。こんなの不公平じゃん！
BOSS-6(0);BOSS-11(0)<Speaker>ドリーマー</Speaker>||:んー……確かにそうだけど、本当に全部込み込みでいいの？//n力を得るにはそれなりの代償が要るのよ？
BOSS-6(0)<Speaker>デストロイヤー</Speaker>;BOSS-11(0)||:うっ……そんな風に言われたら、なんだか怪しそうに聞こえるじゃん……+外見を変えなきゃいけないのならやめておくわ。//n大きな鉄の塊になって戦場に立つのはイヤだからね。
BOSS-6(0);BOSS-11(0)<Speaker>ドリーマー</Speaker>||:それは……+外見はかわいいままだと、保証してあげるわ。
BOSS-6(0)<Speaker>デストロイヤー</Speaker>;BOSS-11(0)||:ほんと？！かわいいのなら問題なし！+うへへ、じゃあもったいぶらずに、さっさとやってちょうだい！
BOSS-6(0);BOSS-11(0)<Speaker>ドリーマー</Speaker>||:なら、まずはぐっすり眠ってもらわないとね。+フフッ、次に目覚めるときは、新しい自分で迎えられるわよ。
BOSS-6(0)<Speaker>デストロイヤー</Speaker>;BOSS-11(0)||:いつも思うんだけど……あんたが笑うとなんか、嫌な予感しかしないんだよね……+まあいいや。//n仲間だし、悪いようにはされないよね……
BOSS-11(0)<Speaker>ドリーマー</Speaker>||<黑屏1>:フフッ、その通りよ。あたしたちは永遠の仲間なんだから……+それじゃおやすみなさい。いい夢を見てね……
