()||<BIN>34</BIN><BGM>BGM_Boss</BGM>:…………
UMP9(0)<Speaker>UMP9</Speaker>;NPC-Seele(0)||:捜索にぴったりの拠点を見つけたわ。電子戦モジュールの作動も完璧。+あとはドローンの捜索だね。他のみんなも今準備をしてるよ。
UMP9(0);NPC-Seele(0)<Speaker>シーア</Speaker>||:よかったです。引き続き、がんばってくださいね。
UMP9(0)<Speaker>UMP9</Speaker>;NPC-Seele(0)||:やっぱり、任務中に励ましてほしくなったらシーアに連絡すべきだね！+あともう一つ訊きたいことがあるんだけど、デールはいる？
UMP9(0);NPC-Seele(0)<Speaker>シーア</Speaker>||:呼んできます、少々お待ちを。+デール、こっちに来て！+え？ゲームですって？中断できないの？
UMP9(0);NPC-Seele(0)||:
()||:…………
UMP9(0);NPC-Deele(0)<Speaker>デール</Speaker><通讯框>||:ちぇっ、まったく。なんの用？+あれ？プライベートチャンネルに切り替えたの？
UMP9(0)<Speaker>UMP9</Speaker>;NPC-Deele(0)||:前にお願いした件でちょっと話があって。
UMP9(0);NPC-Deele(0)<Speaker>デール</Speaker>||:ああ、あれね、UMP45のことで？
UMP9(0)<Speaker>UMP9</Speaker>;NPC-Deele(0)||:うん。45姉の24時間分のエレクトロメンタルグラムを調べてもらってるはずだけど、そろそろ結果が出るころだよね？
UMP9(0);NPC-Deele(0)<Speaker>デール</Speaker>||:ああ、もう出たよ。ちょっと待ってて……+あれ…………？
UMP9(0)<Speaker>UMP9</Speaker>;NPC-Deele(0)||:どうしたの？
UMP9(0);NPC-Deele(0)<Speaker>デール</Speaker>||:うーーーーん……+問題があるってわけじゃないけど、ちょっと変だな。
UMP9(2)<Speaker>UMP9</Speaker>;NPC-Deele(0)||:なにそれ！ちょっと変って、問題があるってことじゃない！
UMP9(2);NPC-Deele(0)<Speaker>デール</Speaker>||:いやいや、どの人形のメンタルだって多少なりとも変なところはあるもんだよ。+45のメンタルデータストリームはいつもあるタイミングで突然増えるんだ。しばらくしないうちにまた一気に減るんだけどね。
UMP9(2)<Speaker>UMP9</Speaker>;NPC-Deele(0)||:データストリームが増える原因は？
UMP9(2);NPC-Deele(0)<Speaker>デール</Speaker>||:一般的にはファイルを転送する時や、データを削除する時だね。あとは動画をこっそり見ている時とか。+こういう操作の際にデータストリームが増えることもあるけど、45の場合、増え方が異常とまではいかないかな。
UMP9(2)<Speaker>UMP9</Speaker>;NPC-Deele(0)||:……デール、あなたを信用していいのよね？
UMP9(2);NPC-Deele(0)<Speaker>デール</Speaker>||:心配ないさ。違法人形が相手だとしても、面倒を見るのが僕の仕事。+お前たちに何か起きたら、一番損をするのは僕なんだから！
UMP9(2)<Speaker>UMP9</Speaker>;NPC-Deele(0)||:そこまで言うのなら……+45姉のメンタルを最優先で見守っててほしいの。//n絶対目を離さないで、いい？
UMP9(2);NPC-Deele(0)<Speaker>デール</Speaker>||:任せて。//nけど、お前たちが任務を確実に成し遂げることが条件だよ。
UMP9(0)<Speaker>UMP9</Speaker>;NPC-Deele(0)||:もちろんよ。とにかく、いろいろと頼んだよ。
UMP9(0);UMP45(0)<Speaker>UMP45</Speaker>||:9、報告は終わった？
UMP9(0)<Speaker>UMP9</Speaker>;UMP45(0)||:あっ、うん。今終わったよ、45姉。//nみんな準備はできたの？
UMP9(0);UMP45(0)<Speaker>UMP45</Speaker>||:ちょっとした問題が起きたけど、心配ないわ。//nこれから解決しようと……
UMP9(0);UMP45(0)||:
()||<SE1>Alarm</SE1><BGM>BGM_Boss</BGM>:…………………ピー！ピー！ピー！
UMP9(2)<Speaker>UMP9</Speaker>;UMP45(0)||:これって……鉄血の警報音？
UMP9(2);UMP45(0)||:
破坏者()<Speaker>デストロイヤー</Speaker>||:ゴホンゴホン！+は～い、放送にちゅうも～く！
HK416(2)<Speaker>416</Speaker>;UMP45(0)||:何が起きてるの？この声は……？
HK416(2);UMP45(2)<Speaker>UMP45</Speaker>||:デストロイヤーよ……間違いなく奴だわ。//nつまり……
HK416(2);UMP45(2)||:
破坏者()<Speaker>デストロイヤー</Speaker>||:グリフィンのクズども、よーく聞きなさい！+あんたたちが侵入していることはお見通しよ！
HK416(2);UMP45(2)<Speaker>UMP45</Speaker>||:……！
HK416(2);UMP45(2)||:
破坏者()<Speaker>デストロイヤー</Speaker>||:それに、ここに来た目的も分かってるわ。//nあんたたちを捕らえるのも時間の問題よ。+どう？今どんな気分？困惑してる？それとも怖くて震えが止まらないのかしら？
G11(0)<Speaker>Gr G11</Speaker>;UMP45(2)||:うるさいなぁ、今すぐ殺っちゃってもいい？+ボスのクセにいつもボコボコにやられてる奴でしょ？
G11(0);UMP45(2)||:
破坏者()<Speaker>デストロイヤー</Speaker>||:そうそう、あんたたちが今何を考えてるのかもバレバレなんだからね……+あたしのこと、「ボスのクセにいつもボコボコにやられてる奴」とか思ってるんでしょ？
()||:…………パチパチパチ！+…………デストロイヤーが拍手する音が聴こえてきた。
破坏者()<Speaker>デストロイヤー</Speaker>||<黑屏1>:確かに今までは、なんというか……少しいじめられもしたけど。+けれどあたしは今、大幅に改造を経て強化されたのよ！
破坏者()<Speaker>デストロイヤー</Speaker>||<黑屏2><BIN>9</BIN><黑屏1>:あと少し、あともう少しで新しいボディが手に入る……+強力で素早く、美しいボディが！//nこれでもう、あたしに敵う者なんていないわ！+あたしに捕まる前に戦場で死ねるよう、せいぜい祈っておくがいいわ！//nアーッハッハッハッハッ！
