()<Speaker></Speaker>||<BIN>82</BIN><BGM>BGM_Empty</BGM>:
CZ52(0);Type88(0)<Speaker>88式</Speaker>||:呃，差不多啦。+那么你愿意来吗？
CZ52(0)<Speaker>CZ52</Speaker>;Type88(0)||:好哦。
CZ52(0);Type88(0)<Speaker>88式</Speaker>||:……太好了。我还以为你会不愿意呢。
CZ52(0)<Speaker>CZ52</Speaker>;Type88(0)||:为什么你会这么想？
Type88(0)<Speaker>88式</Speaker>||<黑点1>:因为这个仪式太古老了，而且……+啊……有些难解释呢，等你来了就知道了。
()||<黑点2>:……+交代了一些其他细节事宜后，88式离开了。+CZ52回到桌边，继续阅读那本残破的小册子。
CZ52(0)<Speaker>CZ52</Speaker>||:“我问鸟儿是否春天来到——”+“这一切于我恍惚如梦。”+……+东方的节日庆典一定会很有趣吧？+就算现在没有办法去旅行，能够多接触一些当地的独特文化也是好的。
CZ52(0)<Speaker></Speaker>||:CZ52合上了小册子，认真地点了点头。
CZ52(0)<Speaker>CZ52</Speaker>||<黑屏1>:难得参与一次这样的活动，这次我要好好准备才行。
()||<BGM>BGM_Empty</BGM><黑屏2>:……数日后。
()||<BGM>GF_Memorial</BGM>:穿着新衣服的CZ52，在镜子前打量自己。
CZ52(2)<Speaker>CZ52</Speaker>||<黑点1>:东方的风俗是过年要穿新的衣服。+虽然是按照东方的风格定制的，不过不知道和其他人在一起的时候会不会显得突兀……+总之先按照约定，去和大家会合吧。
()||<黑点2><BIN>18</BIN>:CZ52离开了宿舍，找到了88式和其他参与拜年的人形。
CZ52(2)<Speaker>CZ52</Speaker>||:好多人……
Type88(2)<Speaker>88式</Speaker>||:CZ52，你来啦。
CZ52(2)<Speaker>CZ52</Speaker>||:原来“拜年”是需要这么多人参加的活动啊？
Type88(2)<Speaker>88式</Speaker>||:其实还有一些人没到……
M99(4)<Speaker>M99</Speaker>||:88式，时间差不多啦。+刚才我和没来的人形联系过了，她们有点事情，过一会儿来和我们会合。
Type88(2)<Speaker>88式</Speaker>||<黑点1>:好的，那大家现在出发……
()||<黑点1><BIN>9</BIN>:一群人形浩浩荡荡地向着宿舍区进发了。+然后……
()||<黑点2><BIN>82</BIN><BGM>BGM_Empty</BGM>:……格里芬人形宿舍内。
56-1type(4)<Speaker>56-1式</Speaker>||<BGM>BGM_Hello</BGM>:大家过年好！我们来拜年啦！！+祝大家春节快乐，万事如意啊！！！
59type(2)<Speaker>59type</Speaker>||:过年好！来来来，大家吃糖啊，吃糖！
ART556(2)<Speaker>ART556</Speaker>||:有没有零食啊，不是说拜年有吃的吗！+啊对了，过年好啊——！！！
CZ52(2)<Speaker>CZ52</Speaker>||:为什么大家说话都这么大声……
M99(4)<Speaker>M99</Speaker>||:过年就是图个热闹嘛——哎，怎么还有人没进来？+前边的让一让，让站在外面的进来噢！
CZ52(2)<Speaker>CZ52</Speaker>||:……
59type(2)<Speaker>59type</Speaker>||:拜年的时候要叫人啊，CZ52。快来和大家说过年好！
CZ52(2)<Speaker>CZ52</Speaker>||:……过年好。
Type88(2)<Speaker>88式</Speaker>||:那个……CZ52，你怎么在门口呆着？+我让大家往里挤一挤……
CZ52(2)<Speaker>CZ52</Speaker>||:没事，我就在这里坐一会儿好了……反正里面看起来也坐不下。
Type88(2)<Speaker>88式</Speaker>||<黑点1>:那好吧……
()||<黑点2><BIN>18</BIN>:……+………………+拜年活动还在继续，人群挤进一个个宿舍又挤了出来。+在逛了三四个宿舍后，CZ52拉住了88式。
CZ52(2)<Speaker>CZ52</Speaker>||:88式，我有点累了……
Type88(2)<Speaker>88式</Speaker>||:啊？但是连一半都还没……
CZ52(2)<Speaker>CZ52</Speaker>||:……我先回去休息啦。
()||<BGM>BGM_Empty</BGM><黑屏1>:CZ52说完，转身离开了。
()||<黑屏2><BIN>82</BIN>:……格里芬人形宿舍内。+CZ52有些沮丧地坐在桌边。
CZ52(2)<Speaker>CZ52</Speaker>||<BGM>GF_Memorial</BGM>:东方的节日仪式原来是这样的吗？又吵又乱，简直像万圣节前夜一样……+真正的东方是这样的吗？
CZ52(2)<Speaker></Speaker>||:CZ52的脑海中浮现出之前见到的其他几个东方人形的模样。
CZ52(2)<Speaker>CZ52</Speaker>||:真正的东方风韵应该就是像95她们那样娴静文雅才对吧？+所以她们这次才没有出现在“拜年”的队伍里。
CZ52(2)<Speaker></Speaker>||:CZ52低头看了眼还没有读完的小册子。
CZ52(2)<Speaker>CZ52</Speaker>||<黑点1>:“春天与我何相干？还且让我沉醉不醒！”+……+今天还是不要出去了，就在宿舍里待着好了。
()||<黑点2>:……+没过多久，CZ52便听到了门外传来喧闹的声音。+叽叽喳喳的说话声越来越近，这让CZ52更加烦躁了。
CZ52(2)<Speaker>CZ52</Speaker>||:看来就算躲在这里也无法幸免，但是现在出去一定会被发现的……+要怎么办才好？
()||<BGM>BGM_Empty</BGM>:就在CZ52犹豫不决的时候，喧闹拜年的队伍停在了她宿舍的门口。
88式的声音()||:CZ52，我们来拜年啦……
CZ52(2)<Speaker>CZ52</Speaker>||:…………
88式的声音()||:我看看……呃，门锁了……+……她刚才说回来休息，应该是在的。
M99的声音()||:要不先去别的宿舍，过一会儿再回来？
温柔的声音()||:可能她在做别的事情，我们再稍等一下。
CZ52(2)<Speaker>CZ52</Speaker>||:这个声音是……！
温柔的声音()||:CZ52，你在吗？+我是95式，大家来给你拜年了。
CZ52(2)<Speaker>CZ52</Speaker>||:95竟然也在拜年的队伍里……为什么？
()||:CZ52走到门边，迟疑了一下之后还是打开了门。
众人形()||<BGM>BGM_Hello</BGM><震屏>:新年好！！！
CZ52(2)<Speaker>CZ52</Speaker><Shake>||:呜，呜啊！请不要挤……
()||:伴随着祝贺的声音，拜年的人形如同潮水般涌进了CZ52的宿舍，把她卷到了房间的中央。
59type(2)<Speaker>59type</Speaker>||:听88说你不太舒服就回来了，没事吧？+来来来，吃糖啊，吃糖！多吃点啊！
CZ52(2)<Speaker>CZ52</Speaker>||:我没事，那个……
56-1type(4)<Speaker>56-1式</Speaker>||:你们怎么让CZ52在这杵着呢？让个地方叫她坐下啊！
()||:CZ52被人形们簇拥着在椅子上坐了下来，然后人形们开始了有一搭没一搭的闲聊。
CZ52(2)<Speaker>CZ52</Speaker>||<黑屏1>:<color=#A9A9A9>（为什么会变成现在这样啊……）</color>+<color=#A9A9A9>（不过……感觉没有刚才那么烦躁了……）</color>
()||<黑屏2>:…………+拜年的队伍很快便离开了。在喧闹的声音渐渐远去的时候，CZ52发现有一个人形留了下来。
CZ52(2)<Speaker>CZ52</Speaker>||<BGM>BGM_Moon</BGM>:咦……95式，你不和她们一起去拜年了吗？
95type(4)<Speaker>95type</Speaker>||:我过一会儿再去找她们。+CZ52，你很喜欢东方的文化吗？
95type(4);CZ52(2)<Speaker>CZ52</Speaker>||:你怎么知道？……是88式告诉你的吗？
95type(4)<Speaker>95type</Speaker>;CZ52(2)||:她和我提到过，不过就算她没有说，你房间的装饰风格也显而易见了。
95type(4);CZ52(2)<Speaker>CZ52</Speaker>||:对，对哦……我都忘记了……
()||:CZ52看了看墙上的字画投影，又看了看自己手里捧着的瓷杯，有些不好意思地低下头。
95type(4);CZ52(2)<Speaker>CZ52</Speaker>||:在你看来一定很粗陋吧……让你见笑了。
95type(4)<Speaker>95type</Speaker>;CZ52(2)||:不是哦，CZ52。+你能喜欢东方的文化，我也很高兴。+就在刚才，我还以为你会不太喜欢我们的春节……
95type(4);CZ52(2)<Speaker>CZ52</Speaker>||:没有啦，我对东方的节日很感兴趣，只是……感到有些意外。
95type(4)<Speaker>95type</Speaker>;CZ52(2)||:意外？
95type(4);CZ52(2)<Speaker>CZ52</Speaker>||:嗯，“拜年”的这个活动，和我印象中的有些不太一样。+我一直以为东方的文化就是恬静优雅的，就和95你给我的感觉一样……
()||:CZ52拿起桌上的小册子，递给了95。
95type(4);CZ52(2)<Speaker>CZ52</Speaker>||:这是我之前出任务的时候在人类居所的废墟里捡到的，上面似乎是讲述东方的诗歌。+我一直觉得上面描述的景象很美……所以才对东方的节日产生了兴趣。+我并不讨厌你们的节日，只是这个庆祝方式……和我想象的有些不太一样。
95type(4)<Speaker>95type</Speaker>;CZ52(2)||:原来如此……
()||:95像是松了口气，微笑着将翻看完的小册子还给了CZ52。
95type(4)<Speaker>95type</Speaker>;CZ52(2)||:我一直担心是不是88式做了什么让你不开心了……毕竟她是第一次牵头做这样的活动。+东方的文化其实是很多样的，有像你捡到的诗里描述的青亭雅会，也有你今天看到的热闹繁华。
95type(4);CZ52(2)<Speaker>CZ52</Speaker>||:这样吗？感觉我的了解还是太浅薄了呢。+这么看来是我有点太任性了，只顾着自己的感受……
95type(4)<Speaker>95type</Speaker>;CZ52(2)||:哈哈，这没什么。+其实就在前几天，我们要88式来主持这次活动的时候她也很不愿意呢。+一直在说“好麻烦”，“太老土了”之类的。
95type(4);CZ52(2)<Speaker>CZ52</Speaker>||:咦，88式也会这么想吗？
95type(4)<Speaker>95type</Speaker>;CZ52(2)||:了解自己平时不太在意的东西总是很难的，无论是对我们还是你们都是一样。+其实来到格里芬之后，这里也有很多让我们觉得不可思议的风俗……大家实际上在同一个起跑线呢。+但是我想……面对不熟悉的事物，比起躲避它，还是用包容的心情去了解它真实的样子更好。
95type(4);CZ52(2)<Speaker>CZ52</Speaker>||:……+<color=#A9A9A9>（是啊，我只是见到了一点点和自己的想象不同的“东方”就缩回了自己的壳里。）</color>+<color=#A9A9A9>（这样的话，不就永远都无法知道真正的东方文化是什么样了吗？）</color>+我明白了，95。+谢谢你和我说这些，现在我感觉畅快多了。
95type(4)<Speaker>95type</Speaker>;CZ52(2)||:没关系的。+如果你喜欢我们的文化，随时可以来找我聊哦。
95type(4);CZ52(2)<Speaker>CZ52</Speaker>||:真的吗？那太好了。+这本诗集里有些内容我还不是很明白，可以麻烦你帮我解读吗？
95type(4)<Speaker>95type</Speaker>;CZ52(2)||:没问题。不过拜年还没有结束……等到大家都收到新年的祝福之后，我们再来讨论吧？
95type(4);CZ52(2)<Speaker>CZ52</Speaker>||:好的。+……95，我还能再和你们一起去拜年吗？
95type(4)<Speaker>95type</Speaker>||:当然可以。
CZ52(2)<Speaker>CZ52</Speaker>||:那……请稍等我一下。
()||<黑屏1>:CZ52小心翼翼地将小册子放回了书架上，和95一起离开了宿舍。
CZ52()||<黑屏2><黑屏1><BIN>9</BIN>:今天是东方新年的第一天……今天我见识到了东方的风俗。+那么新年的愿望，就是今年能够去东方旅行吧！
